"","Question","mean_percentage"
"1","MathQ1",51.3297872340426
"2","MathQ10",65.9574468085106
"3","MathQ2",51.775585106383
"4","MathQ3",65.9577659574468
"5","MathQ4",31.9148936170213
"6","MathQ5",72.8723404255319
"7","MathQ6",42.9070744680851
"8","MathQ7",39.3606914893617
"9","MathQ8",78.3691489361702
"10","MathQ9",47.3404255319149
